phenotype	snp	adjustment	beta	SE	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	note	p.value	bonferroni	fdr	description	group
071	rs4266947_T	NA	NA	NA	NA	NA	logistic	425359	3	425356	0.652225647752586	0.0508194254735412	2490	 [Error: < 15  cases or controls]	NA	NA	NA	Human immunodeficiency virus [HIV] disease	infectious diseases
071.1	rs4266947_T	NA	NA	NA	NA	NA	NA	425356	NA	NA	NA	NA	2490	 [Error: non-varying phenotype or genotype]	NA	NA	NA	HIV infection, symptomatic	infectious diseases
078	rs4266947_T	NA	-0.0877123998102419	0.116946367987028	0.916024287601938	0.453241192170587	logistic	426177	821	425356	0.6647358480941	0.0508122212132518	2493		FALSE	FALSE	FALSE	Viral warts & HPV	infectious diseases
079	rs4266947_T	NA	0.292264377841931	0.0668790703823659	1.33945709360808	1.24222374688981e-05	logistic	427153	1797	425356	0.692374268205363	0.0508892598202518	2499		TRUE	TRUE	TRUE	Viral infection	infectious diseases
079.1	rs4266947_T	NA	0.424165796263738	0.368812249784437	1.52831496169021	0.250108461860827	logistic	425409	53	425356	0.656675724801506	0.0508228551817192	2490		FALSE	FALSE	FALSE	Varicella infection	infectious diseases
079.2	rs4266947_T	NA	0.337659732282628	0.425315866575922	1.40166348141899	0.427251643181796	logistic	425399	43	425356	0.655463239075864	0.0508216991577319	2490		FALSE	FALSE	FALSE	Infectious mononucleosis	infectious diseases
079.9	rs4266947_T	NA	0.285125352334827	0.0734992684345373	1.32992872734431	0.000104759600044354	logistic	426849	1493	425356	0.671942550556589	0.050876305203948	2498		TRUE	FALSE	FALSE	Viremia, NOS	infectious diseases
080	rs4266947_T	NA	0.0805934430283939	0.0541363399208406	1.08393012762387	0.13656310615942	logistic	427232	3315	423917	0.670824939694409	0.0508751685267021	2499		FALSE	FALSE	FALSE	Postoperative infection	infectious diseases
081	rs4266947_T	NA	-0.03713668546432	0.0766936810511588	0.963544423830769	0.628229085410387	logistic	425748	1831	423917	0.723025860619533	0.0508352358672266	2494		FALSE	FALSE	FALSE	Infection/inflammation of internal prosthetic device; implant; and graft	infectious diseases
081.1	rs4266947_T	NA	NA	NA	NA	NA	NA	423917	NA	NA	NA	NA	2483	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Graft-versus-host disease	infectious diseases
081.11	rs4266947_T	NA	NA	NA	NA	NA	NA	423917	NA	NA	NA	NA	2483	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Acute graft-versus-host disease	infectious diseases
081.12	rs4266947_T	NA	NA	NA	NA	NA	NA	423917	NA	NA	NA	NA	2483	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Chronic graft-versus-host disease	infectious diseases
090	rs4266947_T	NA	0.308397570116003	0.599913187527236	1.36124207053898	0.607202820501023	logistic	428858	22	428836	0.687432534460407	0.0508734825979695	2509		FALSE	FALSE	FALSE	Sexually transmitted infections (not HIV or hepatitis)	infectious diseases
090.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	428837	1	428836	0.685961947465387	0.0508724760223581	2509	 [Error: < 15  cases or controls]	NA	NA	NA	Gonococcal infections	infectious diseases
090.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	428838	2	428836	0.685923108414623	0.0508723573937011	2509	 [Error: < 15  cases or controls]	NA	NA	NA	Venereal diseases due to Chlamydia trachomatis	infectious diseases
110	rs4266947_T	NA	-0.0945346695757816	0.458765600559409	0.909796191831227	0.836741608911228	logistic	428562	54	428508	0.674378975339739	0.050871285834955	2506		FALSE	FALSE	FALSE	Dermatophytosis / Dermatomycosis	infectious diseases
110.1	rs4266947_T	NA	-0.135817442192355	0.512454548790542	0.873001991271778	0.790983926321098	logistic	428553	45	428508	0.673955300094445	0.0508711874610608	2506		FALSE	FALSE	FALSE	Dermatophytosis	infectious diseases
110.11	rs4266947_T	NA	-0.471302989456436	0.719703745031903	0.624188427245169	0.512559868668461	logistic	428539	31	428508	0.672947237040155	0.0508705158690341	2506		FALSE	FALSE	FALSE	Dermatophytosis of nail	infectious diseases
110.12	rs4266947_T	NA	NA	NA	NA	NA	logistic	428521	13	428508	0.673665084160426	0.0508726526821323	2506	 [Error: < 15  cases or controls]	NA	NA	NA	Althete's foot	infectious diseases
110.13	rs4266947_T	NA	NA	NA	NA	NA	logistic	428509	1	428508	0.67257653310293	0.0508717436506584	2506	 [Error: < 15  cases or controls]	NA	NA	NA	Dermatophytosis of the body	infectious diseases
110.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	428517	9	428508	0.673041310863555	0.0508719607390139	2506	 [Error: < 15  cases or controls]	NA	NA	NA	Dermatomycoses	infectious diseases
112	rs4266947_T	NA	0.153070008379413	0.210751537574798	1.1654065643118	0.467651486574289	logistic	428711	203	428508	0.683219133082198	0.0508757647925992	2508		FALSE	FALSE	FALSE	Candidiasis	infectious diseases
112.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	428512	4	428508	0.672456699087076	0.0508713874990665	2506	 [Error: < 15  cases or controls]	NA	NA	NA	Candidiasis of skin and nails	infectious diseases
117	rs4266947_T	NA	-0.183237499736112	0.36136700255964	0.832570397004614	0.612107385621331	logistic	428601	93	428508	0.675171300841823	0.0508701566258595	2507		FALSE	FALSE	FALSE	Mycoses	infectious diseases
117.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	428509	1	428508	0.67257653310293	0.0508717436506584	2506	 [Error: < 15  cases or controls]	NA	NA	NA	Histoplasmosis	infectious diseases
117.2	rs4266947_T	NA	NA	NA	NA	NA	NA	428508	NA	NA	NA	NA	2506	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Coccidioidomycosis	infectious diseases
117.3	rs4266947_T	NA	NA	NA	NA	NA	NA	428508	NA	NA	NA	NA	2506	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Blastomycotic infection	infectious diseases
117.4	rs4266947_T	NA	-0.286181348217867	0.416184634489206	0.75112638816304	0.491685345140476	logistic	428585	77	428508	0.674245370746238	0.0508697224587888	2507		FALSE	FALSE	FALSE	Aspergillosis	infectious diseases
130	rs4266947_T	NA	0.148630353601304	0.421673026909153	1.16024402990508	0.724480013023004	logistic	428699	51	428648	0.683687767713939	0.050877188890107	2507		FALSE	FALSE	FALSE	Spirochetal infection	infectious diseases
130.1	rs4266947_T	NA	0.0246297801071376	0.728379001084764	1.02493559872795	0.973025064061412	logistic	428667	19	428648	0.68186681086555	0.0508763212470286	2507		FALSE	FALSE	FALSE	Lyme disease	infectious diseases
131	rs4266947_T	NA	NA	NA	NA	NA	logistic	428656	8	428648	0.681528123618838	0.0508764603784853	2506	 [Error: < 15  cases or controls]	NA	NA	NA	Protozoan infection	infectious diseases
132	rs4266947_T	NA	NA	NA	NA	NA	logistic	428657	9	428648	0.68071808211741	0.0508751752566738	2506	 [Error: < 15  cases or controls]	NA	NA	NA	Infestation (lice, mites)	infectious diseases
132.1	rs4266947_T	NA	NA	NA	NA	NA	NA	428648	NA	NA	NA	NA	2506	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Pediculosis and phthirus infestation	infectious diseases
133	rs4266947_T	NA	0.0223824283378964	0.388575971563127	1.0226347942237	0.954066322325879	logistic	428715	67	428648	0.683829832838284	0.0508764563871103	2508		FALSE	FALSE	FALSE	Arthropod-borne diseases	infectious diseases
134	rs4266947_T	NA	-0.409970228685515	0.509321889602493	0.663670008170734	0.420858081040932	logistic	428706	58	428648	0.681877842567067	0.0508740255559754	2506		FALSE	FALSE	FALSE	Helminthiases	infectious diseases
134.1	rs4266947_T	NA	-0.392393888053876	0.588013930423594	0.675438014592304	0.504567284771688	logistic	428691	43	428648	0.681695967808885	0.0508746393089661	2506		FALSE	FALSE	FALSE	Intestinal helminthiases	infectious diseases
136	rs4266947_T	NA	-0.561778814671885	1.01495876967285	0.57019389195434	0.579921663565379	logistic	428665	17	428648	0.681175085847039	0.050875392206035	2506		FALSE	FALSE	FALSE	Other infectious and parasitic diseases	infectious diseases
145	rs4266947_T	NA	0.00520721560054443	0.118749226033678	1.00522079671072	0.965023554706661	logistic	427188	727	426461	0.722968850329785	0.0508663632873583	2498		FALSE	FALSE	FALSE	Cancer of mouth	neoplasms
145.1	rs4266947_T	NA	-0.00510821354650135	0.419028952778323	0.994904811189169	0.990273550915987	logistic	426520	59	426461	0.726405146992835	0.0508651411422677	2495		FALSE	FALSE	FALSE	Cancer of lip	neoplasms
145.2	rs4266947_T	NA	-0.0322581055085362	0.176123057418662	0.968256637452739	0.854675123586792	logistic	426803	342	426461	0.735757162460087	0.0508642160434674	2497		FALSE	FALSE	FALSE	Cancer of tongue	neoplasms
145.3	rs4266947_T	NA	-0.750445471949942	0.413639820381652	0.47215617355417	0.0696394583941888	logistic	426581	120	426461	0.724236731345559	0.0508578675562203	2495		FALSE	FALSE	FALSE	Cancer of major salivary glands	neoplasms
145.4	rs4266947_T	NA	0.373639566645974	0.463955278344514	1.45301334159128	0.420626212486092	logistic	426496	35	426461	0.740211097630601	0.050866831107443	2495		FALSE	FALSE	FALSE	Cancer of the gums	neoplasms
145.5	rs4266947_T	NA	0.0277072399110635	0.420309521025048	1.0280946552762	0.947440691103121	logistic	426517	56	426461	0.740164657357528	0.0508654989132907	2496		FALSE	FALSE	FALSE	Cancer of the mouth floor	neoplasms
149	rs4266947_T	NA	0.01715674949638	0.118831074413063	1.01730477183875	0.885200947430579	logistic	427175	714	426461	0.723433149000744	0.0508679112775794	2501		FALSE	FALSE	FALSE	Cancer of larynx, pharynx, nasal cavities	neoplasms
149.1	rs4266947_T	NA	0.0162482282956806	0.187829841584993	1.016380948606	0.931064948329201	logistic	426746	285	426461	0.735010102935664	0.0508663232930127	2499		FALSE	FALSE	FALSE	Cancer of oropharynx	neoplasms
149.2	rs4266947_T	NA	0.628723412103802	0.428334076073122	1.87521517362332	0.142149261196614	logistic	426494	33	426461	0.740950559814136	0.050868241991681	2495		FALSE	FALSE	FALSE	Cancer of nasopharynx	neoplasms
149.3	rs4266947_T	NA	-0.440306310334171	0.509054600434536	0.643839176282384	0.387066735401476	logistic	426520	59	426461	0.738715508220713	0.0508627965863266	2495		FALSE	FALSE	FALSE	Cancer of hypopharynx	neoplasms
149.4	rs4266947_T	NA	0.129004925609301	0.176966030256406	1.13769572799659	0.466013105455608	logistic	426751	290	426461	0.723810611537541	0.0508704138947536	2497		FALSE	FALSE	FALSE	Cancer of larynx	neoplasms
149.5	rs4266947_T	NA	NA	NA	NA	NA	NA	426461	NA	NA	NA	NA	2495	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hx of malignant neoplasm of oral cavity and pharynx	neoplasms
149.9	rs4266947_T	NA	-0.546302378882649	0.508117703179998	0.579087101193666	0.282307902550218	logistic	426527	66	426461	0.738475083394549	0.0508619618453228	2495		FALSE	FALSE	FALSE	Cancer of of nasal cavities	neoplasms
150	rs4266947_T	NA	-0.0744380758936327	0.110659885094843	0.928264954257024	0.501154434047262	logistic	415250	905	414345	0.697577202566548	0.0508344370860927	2434		FALSE	FALSE	FALSE	Cancer of esophagus	neoplasms
151	rs4266947_T	NA	-0.0263325031948932	0.123722456727938	0.974011173933041	0.831455447984137	logistic	415035	690	414345	0.692973042027217	0.0508402905779031	2432		FALSE	FALSE	FALSE	Cancer of stomach	neoplasms
153	rs4266947_T	NA	0.0466552339802154	0.0428502630601522	1.04776071451096	0.276243454899254	logistic	404778	5514	399264	0.658991799076345	0.0507660989480654	2368		FALSE	FALSE	FALSE	Colorectal cancer	neoplasms
153.2	rs4266947_T	NA	0.00810401664076137	0.0536591296818274	1.00813694306896	0.879953840072762	logistic	402876	3612	399264	0.642502015718557	0.0507376959660044	2358		FALSE	FALSE	FALSE	Colon cancer	neoplasms
153.3	rs4266947_T	NA	0.080616780485578	0.0626667257250567	1.08395542409199	0.19829067123686	logistic	401741	2477	399264	0.641270163659687	0.050757826559898	2347		FALSE	FALSE	FALSE	Malignant neoplasm of rectum, rectosigmoid junction, and anus	neoplasms
155	rs4266947_T	NA	0.2574660225935	0.140957925945396	1.29364785543452	0.0677681797560502	logistic	414760	415	414345	0.692204454877843	0.0508559166747034	2432		FALSE	FALSE	FALSE	Cancer of liver and intrahepatic bile duct	neoplasms
155.1	rs4266947_T	NA	0.369480781371715	0.203883637578633	1.44698311899474	0.0699531374517265	logistic	414523	178	414345	0.695259888267685	0.050851219353329	2431		FALSE	FALSE	FALSE	Malignant neoplasm of liver, primary	neoplasms
157	rs4266947_T	NA	-0.0842049341705177	0.120075242364853	0.919242852519133	0.483135732686441	logistic	415120	775	414345	0.677233975518114	0.0508346984004625	2437		FALSE	FALSE	FALSE	Pancreatic cancer	neoplasms
158	rs4266947_T	NA	0.0488114897421535	0.107924159278856	1.05002239209012	0.651070278985758	logistic	415198	853	414345	0.703317915941025	0.0508468248883665	2436		FALSE	FALSE	FALSE	Neoplasm of unspecified nature of digestive system	neoplasms
159	rs4266947_T	NA	-0.0857229775596578	0.12925833426188	0.917848460625327	0.507208167460611	logistic	415015	670	414345	0.689152691175519	0.0508355119694469	2436		FALSE	FALSE	FALSE	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	neoplasms
159.2	rs4266947_T	NA	-0.128192426667105	0.234953201377445	0.879684088179925	0.585335188842407	logistic	414555	210	414345	0.673019152253935	0.0508388512983802	2432		FALSE	FALSE	FALSE	Malignant neoplasm of small intestine, including duodenum	neoplasms
159.3	rs4266947_T	NA	-0.107206917202484	0.218390516963479	0.89833977180543	0.623500375573827	logistic	414584	239	414345	0.689827229648628	0.0508389132238581	2433		FALSE	FALSE	FALSE	Malignant neoplasm of gallbladder and extrahepatic bile ducts	neoplasms
159.4	rs4266947_T	NA	0.120875624103728	0.206300540189266	1.12848454736151	0.557929238735505	logistic	414565	220	414345	0.692868582589942	0.0508448614813117	2432		FALSE	FALSE	FALSE	Malignant neoplasm of retroperitoneum and peritoneum	neoplasms
164	rs4266947_T	NA	0.714815622326508	0.318517741022103	2.04380981461795	0.0248199180778734	logistic	426018	56	425962	0.70019564836975	0.0508523114046824	2493		TRUE	FALSE	FALSE	Cancer of intrathoracic organs	neoplasms
165	rs4266947_T	NA	0.0589660925602291	0.0589335013967983	1.06073927317736	0.317042954547054	logistic	428808	2846	425962	0.681729431241466	0.0508677543329416	2509		FALSE	FALSE	FALSE	Cancer within the respiratory system	neoplasms
165.1	rs4266947_T	NA	0.0334892793533132	0.0622876381102539	1.03405635791399	0.590815037943697	logistic	428562	2600	425962	0.681306422102597	0.0508584522192822	2508		FALSE	FALSE	FALSE	Cancer of bronchus; lung	neoplasms
170	rs4266947_T	NA	0.0764746962268764	0.144228310882447	1.07947487520424	0.595949978975749	logistic	428858	468	428390	0.687432534460407	0.0508734825979695	2509		FALSE	FALSE	FALSE	Cancer of bone and connective tissue	neoplasms
170.1	rs4266947_T	NA	0.123228859399912	0.257780101994436	1.13114326409565	0.632622675729843	logistic	428530	140	428390	0.673306284480031	0.0508715842531445	2507		FALSE	FALSE	FALSE	Bone cancer	neoplasms
170.2	rs4266947_T	NA	0.0385960489701178	0.171421731201168	1.03935055211404	0.82186056017619	logistic	428734	344	428390	0.695905380205259	0.0508707030466443	2509		FALSE	FALSE	FALSE	Cancer of connective tissue	neoplasms
172	rs4266947_T	NA	0.0262552887848371	0.0331605984693262	1.02660299525439	0.428499691682941	logistic	428703	9535	419168	0.679681749745772	0.0508708826390298	2508		FALSE	FALSE	FALSE	Skin cancer	neoplasms
172.1	rs4266947_T	NA	-0.0107213635972646	0.0619204266608988	0.989335905371553	0.862535533308896	logistic	421932	2764	419168	0.701944387833276	0.0508411307983277	2470		FALSE	FALSE	FALSE	Melanomas of skin, dx or hx	neoplasms
172.11	rs4266947_T	NA	-0.0107213635972646	0.0619204266608988	0.989335905371553	0.862535533308896	logistic	421932	2764	419168	0.701944387833276	0.0508411307983277	2470		FALSE	FALSE	FALSE	Melanomas of skin	neoplasms
172.2	rs4266947_T	NA	0.0486095412263149	0.0395685487521427	1.04981036303664	0.21926332024896	logistic	425683	6515	419168	0.659342230390671	0.0508805848483496	2487		FALSE	FALSE	FALSE	Other non-epithelial cancer of skin	neoplasms
172.21	rs4266947_T	NA	NA	NA	NA	NA	NA	419168	NA	NA	NA	NA	2456	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Basal cell carcinoma	neoplasms
172.22	rs4266947_T	NA	NA	NA	NA	NA	NA	419168	NA	NA	NA	NA	2456	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Squamous cell carcinoma	neoplasms
172.3	rs4266947_T	NA	0.0249683283648149	0.119769519284121	1.02528264763222	0.834862156590436	logistic	419883	715	419168	0.687632440909376	0.0508474979934887	2463		FALSE	FALSE	FALSE	Carcinoma in situ of skin	neoplasms
173	rs4266947_T	NA	0.0190113326101327	0.23518788638805	1.01919319867113	0.935573444308732	logistic	419356	188	419168	0.681256672631796	0.0508458207346503	2457		FALSE	FALSE	FALSE	Neoplasm of uncertain behavior of skin	neoplasms
174	rs4266947_T	NA	-0.01159183342524	0.0623929336737195	0.988475093026136	0.852611328738944	logistic	419650	2717	416933	0.685265862023767	0.0508816871202192	2456		FALSE	FALSE	FALSE	Breast cancer	neoplasms
174.1	rs4266947_T	NA	-0.00510565863373638	0.0638724138601652	0.994907353087418	0.936288738337379	logistic	222738	2609	220129	0.491360709013519	0.0506761307006438	1300		FALSE	FALSE	FALSE	Breast cancer [female]	neoplasms
174.11	rs4266947_T	NA	0.039376370911546	0.128931054143771	1.0401618966685	0.760056637268752	logistic	220743	614	220129	0.495723846645955	0.0506856389557087	1291		FALSE	FALSE	FALSE	Malignant neoplasm of female breast	neoplasms
174.2	rs4266947_T	NA	NA	NA	NA	NA	NA	196804	NA	NA	NA	NA	1155	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Breast cancer [male]	neoplasms
174.3	rs4266947_T	NA	-0.118775833458774	0.323704398526881	0.888006839874041	0.713673587045937	logistic	417043	110	416933	0.692369667318653	0.0508844411727328	2445		FALSE	FALSE	FALSE	Neoplasm of uncertain behavior of breast	neoplasms
175	rs4266947_T	NA	0.0657382198767089	0.0681160031733465	1.06794711324324	0.334498658994459	logistic	221053	2140	218913	0.450003704603895	0.0507140821431964	1290		FALSE	FALSE	FALSE	Acquired absence of breast	neoplasms
180	rs4266947_T	NA	-0.072741388329555	0.0749081980183317	0.929841266737823	0.331511530714942	logistic	217946	2033	215913	0.415504602371989	0.0506111605627082	1278		FALSE	FALSE	FALSE	Cervical cancer and dysplasia	neoplasms
180.1	rs4266947_T	NA	-0.0537102694145096	0.205470834915395	0.9477066463301	0.793783332121794	logistic	216172	259	215913	0.358545317484973	0.0506425439002276	1262		FALSE	FALSE	FALSE	Cervical cancer	neoplasms
180.3	rs4266947_T	NA	-0.0902376514046075	0.0800614522603504	0.913714014047879	0.259698151622713	logistic	217723	1810	215913	0.395850391522666	0.0506078824928923	1278		FALSE	FALSE	FALSE	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	neoplasms
182	rs4266947_T	NA	0.0815612137073329	0.0804308568033803	1.08497963117687	0.31055709489933	logistic	217430	1517	215913	0.353042621909549	0.0506714804764752	1273		FALSE	FALSE	FALSE	Malignant neoplasm of uterus	neoplasms
184	rs4266947_T	NA	0.0645682321261821	0.0799040726864863	1.06669835885865	0.419049219489133	logistic	222894	1550	221344	0.366026540690188	0.0506496361499188	1310		FALSE	FALSE	FALSE	Cancer of other female genital organs	neoplasms
184.1	rs4266947_T	NA	0.0957948200585081	0.0927010826923828	1.10053323348237	0.301429255033021	logistic	222461	1117	221344	0.364234839188498	0.0506515748827884	1307		FALSE	FALSE	FALSE	Malignant neoplasm of ovary and other uterine adnexa	neoplasms
184.11	rs4266947_T	NA	0.0729084919489292	0.0961703403721884	1.07563210341359	0.448380183973845	logistic	222402	1058	221344	0.354715177370138	0.0506447783742952	1307		FALSE	FALSE	FALSE	Malignant neoplasm of ovary	neoplasms
184.2	rs4266947_T	NA	-0.149348408991827	0.190117703024599	0.861268988758606	0.43212670512763	logistic	221673	329	221344	0.339960111203148	0.0506173507824588	1306		FALSE	FALSE	FALSE	Cancer of other female genital organs (excluding uterus and ovary)	neoplasms
185	rs4266947_T	NA	0.00265743434827387	0.0401060352818078	1.00266096845679	0.947170660834297	logistic	188437	6804	181633	0.595429358561026	0.0511789086007525	1103		FALSE	FALSE	FALSE	Cancer of prostate	neoplasms
187	rs4266947_T	NA	0.00675609002727481	0.145647267426724	1.00677896388711	0.963002070196585	logistic	189963	481	189482	0.61796788205123	0.0511231134484084	1116		FALSE	FALSE	FALSE	Cancer of other male genital organs	neoplasms
187.1	rs4266947_T	NA	0.0699157236092495	0.343047640090523	1.07241779794429	0.838503836705084	logistic	189564	82	189482	0.590752289152072	0.0511225760165432	1116		FALSE	FALSE	FALSE	Malignant neoplasm of unspecified male genital organ	neoplasms
